,USunpl.response,phase,pID,Age,Group
34,7.0,3,GUWE22,50,0
2,4.0,0,HABU26,54,1
22,4.0,2,HABU26,54,1
34,3.0,3,HABU26,54,1
2,9.0,0,HECR05,16,1
22,10.0,2,HECR05,16,1
34,10.0,3,HECR05,16,1
2,8.0,0,HEPR17,23,1
22,10.0,2,HEPR17,23,1
34,10.0,3,HEPR17,23,1
34,7.0,3,HERE11,53,0
2,8.0,0,HEST14,51,1
22,8.0,2,HEST14,51,1
34,8.0,3,HEST14,51,1
2,10.0,0,HIFR07,15,1
22,10.0,2,HIFR07,15,1
34,10.0,3,HIFR07,15,1
2,8.0,0,HIGE31,50,1
22,8.0,2,HIGE31,50,1
34,8.0,3,HIGE31,50,1
22,6.0,2,IRSC21,23,0
2,8.0,0,JEBI31,13,0
22,8.0,2,JEBI31,13,0
34,6.0,3,JEBI31,13,0
2,8.0,0,JUCL09,15,0
22,9.0,2,JUCL09,15,0
34,8.0,3,JUCL09,15,0
2,9.0,0,JUHI17,15,1
22,8.0,2,JUHI17,15,1
34,7.0,3,JUHI17,15,1
2,4.0,0,KAFR02,24,0
22,5.0,2,KAFR02,24,0
34,6.0,3,KAFR02,24,0
22,9.0,2,KAHE05,14,0
34,9.0,3,KAHE05,14,0
22,7.0,2,KAHO11,48,1
34,7.0,3,KAHO11,48,1
2,6.0,0,KAKO31,28,0
22,8.0,2,KAKO31,28,0
34,6.0,3,KAKO31,28,0
2,9.0,0,KALU04,16,0
22,7.0,2,KALU04,16,0
34,7.0,3,KALU04,16,0
2,8.0,0,KAPA23,17,1
22,9.0,2,KAPA23,17,1
34,8.0,3,KAPA23,17,1
2,9.0,0,KAWA09,16,0
22,10.0,2,KAWA09,16,0
34,9.0,3,KAWA09,16,0
2,10.0,0,KISI30,23,0
22,10.0,2,KISI30,23,0
34,10.0,3,KISI30,23,0
2,8.0,0,KRKO23,32,0
22,7.0,2,KRKO23,32,0
34,7.0,3,KRKO23,32,0
2,7.0,0,LAKW08,30,1
22,6.0,2,LAKW08,30,1
34,5.0,3,LAKW08,30,1
22,8.0,2,LEBU13,15,1
34,9.0,3,LEBU13,15,1
2,7.0,0,LELE22,24,1
